Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.119156405,0.119156405,True
0.0,0.10150887,0.10150887,True
0.0,0.0937141,0.0937141,True
0.0,0.05663003,0.05663003,False
0.0,0.051379725,0.051379725,True
0.0,0.039448008,0.039448008,True
0.0,0.011818022,0.011818022,False
0.0,0.011670396,0.011670396,False
0.0,0.006964192,0.006964192,False
0.0,0.0042264014,0.0042264014,False
0.0,0.0023563653,0.0023563653,True
0.0,-0.29265016,-0.29265016,True
0.0,-0.27574527,-0.27574527,False
0.0,-0.2669009,-0.2669009,True
0.0,-0.25721747,-0.25721747,True
0.0,-0.23656447,-0.23656447,True
0.0,-0.23565711,-0.23565711,False
0.0,-0.23223366,-0.23223366,True
0.0,-0.21915044,-0.21915044,False
0.0,-0.21864478,-0.21864478,True
0.0,-0.21330215,-0.21330215,False
0.0,-0.1844304,-0.1844304,False
0.0,-0.17983879,-0.17983879,False
0.0,-0.17929475,-0.17929475,True
0.0,-0.17655592,-0.17655592,True
0.0,-0.17194979,-0.17194979,True
0.0,-0.16012056,-0.16012056,True
0.0,-0.1557808,-0.1557808,False
0.0,-0.14575307,-0.14575307,False
0.0,-0.13279568,-0.13279568,False
0.0,-0.12882124,-0.12882124,True
0.0,-0.12703528,-0.12703528,False
0.0,-0.12576829,-0.12576829,False
0.0,-0.1229337,-0.1229337,False
0.0,-0.12184282,-0.12184282,True
0.0,-0.119510785,-0.119510785,True
0.0,-0.10495944,-0.10495944,True
0.0,-0.09023936,-0.09023936,False
0.0,-0.08972897,-0.08972897,True
0.0,-0.08582844,-0.08582844,False
0.0,-0.08185662,-0.08185662,True
0.0,-0.08032502,-0.08032502,False
0.0,-0.07594204,-0.07594204,False
0.0,-0.07095237,-0.07095237,True
0.0,-0.06967452,-0.06967452,False
0.0,-0.06746507,-0.06746507,True
0.0,-0.06158729,-0.06158729,False
1.0,-0.06023781,-0.06023781,False
0.0,-0.057047293,-0.057047293,False
0.0,-0.05571565,-0.05571565,False
0.0,-0.043921933,-0.043921933,False
0.0,-0.038138986,-0.038138986,False
0.0,-0.03532833,-0.03532833,False
1.0,-0.024399474,-0.024399474,True
0.0,-0.015642688,-0.015642688,True
0.0,-0.015012905,-0.015012905,False
0.0,-0.006706387,-0.006706387,False
0.0,-0.004567012,-0.004567012,True
0.0,-0.0045319647,-0.0045319647,False
0.0,-0.0027629286,-0.0027629286,False
