Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,0.013980687,0.013980687,False
0.0,0.013173342,0.013173342,False
0.0,0.005327329,0.005327329,True
0.0,-0.0018964112,-0.0018964112,True
0.0,-0.010800943,-0.010800943,True
0.0,-0.020457566,-0.020457566,True
0.0,-0.03343527,-0.03343527,False
0.0,-0.045116052,-0.045116052,False
0.0,-0.045458645,-0.045458645,False
0.0,-0.0473897,-0.0473897,False
0.0,-0.0502256,-0.0502256,True
0.0,-0.054565698,-0.054565698,False
0.0,-0.056300938,-0.056300938,False
0.0,-0.11429171,-0.11429171,False
0.0,-0.124502525,-0.124502525,False
0.0,-0.12546892,-0.12546892,False
0.0,-0.12625967,-0.12625967,False
0.0,-0.1269222,-0.1269222,False
1.0,-0.13387205,-0.13387205,False
0.0,-0.13440381,-0.13440381,False
0.0,-0.14248349,-0.14248349,False
0.0,-0.15263583,-0.15263583,False
0.0,-0.16408773,-0.16408773,False
0.0,-0.18715243,-0.18715243,False
0.0,-0.19693063,-0.19693063,False
0.0,-0.20276739,-0.20276739,False
0.0,-0.2348582,-0.2348582,False
0.0,-0.23500384,-0.23500384,False
0.0,-0.2477573,-0.2477573,False
1.0,-0.27688706,-0.27688706,True
