sensitive_attribute,session,score,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
H,5842,1,7.0,5.6683685237667065,0.2962841417193893,9.884582314041538,3.8075281249151933,5.733048117865211,3.8075374916294153,2.0,6.187162317181874,0.5913416478161553,8.081308833717628,2.1256003080501893,6.3409759988106025,1.8096367732012144,0.0,6.921131492262075,0.0,0.0,6.910678981904181,7.163135350515562,9.46272493452981,2070.0,89.0,35.0,3447.0
L,5842,1,4.0,5.6683685237667065,0.2622923258728629,9.321297418423168,4.077366325380419,6.213753568806593,3.9909998669742017,2.0,6.187162317181874,0.5030257356991531,7.437783172706334,2.3667623648670766,6.342466682316457,2.0506701864570718,1.0,6.921131492262075,0.5384288121043342,5.594467086601206,2.7936653348879315,6.665780950832843,1.7143668846111475,1266.0,85.0,39.0,2621.0
H,5842,1,9.0,5.6683685237667065,0.5032246390160301,10.653738583811029,3.3167859546588567,5.469263440750584,3.341301495274547,2.0,6.187162317181874,0.5321641448429926,8.081308833717628,2.1256003080501893,6.3409759988106025,1.8096367732012144,1.0,6.921131492262075,0.7219518112626891,8.148250554427678,1.8773746030137763,6.66428357096734,0.7983350564772441,1525.0,74.0,13.0,1337.0
H,5842,0,1.0,5.6683685237667065,0.10459979903726574,6.568670574015022,5.894843661110903,7.322916947549761,4.812465516719199,1.0,6.187162317181874,0.5266471155511449,8.06088311358713,2.5479288002007627,6.668946396633084,1.4913117021950058,0.0,6.921131492262075,0.0,0.0,6.728357425110227,7.162636721734352,9.46272493452981,770.0,35.0,37.0,3620.0
L,5842,0,11.0,5.6683685237667065,0.542923340609533,10.831782903491616,3.2006971657134966,5.286952718711729,3.2403517292954533,2.0,6.187162317181874,0.5762740484784998,8.081308833717628,2.1256003080501893,6.3409759988106025,1.8096367732012144,0.0,6.921131492262075,0.0,0.0,5.812066693236071,7.161139341868847,9.46272493452981,1645.0,90.0,10.0,1996.0
H,5842,1,4.0,5.6683685237667065,0.3775378935995335,9.985281723002084,3.664179171178344,6.183223908190802,3.5781733335254438,1.0,6.187162317181874,0.3761690451543758,6.552817942853296,3.2410759807607077,6.670940415239947,2.1841158259006344,0.0,6.921131492262075,0.0,0.0,5.1189195126761255,7.160639716577416,9.46272493452981,852.0,57.0,6.0,5453.0
H,5842,0,12.0,5.6683685237667065,0.5112523153063526,10.798315538312716,3.2411240559184553,5.2186777655528465,3.2863538657919302,2.0,6.187162317181874,0.5596343235731658,7.437783172706334,2.3667623648670766,6.342466682316457,2.0506701864570718,1.0,6.921131492262075,0.7219518112626891,8.148250554427678,1.8773746030137763,6.66428357096734,0.7983350564772441,2086.0,104.0,13.0,1435.0
H,5842,0,7.0,5.6683685237667065,0.3554497546183589,10.16381531415426,3.6350174386854976,5.7131491636880645,3.6351673166423,1.0,6.187162317181874,0.2804842743520662,5.746506778989664,3.5595297118792426,6.6724333242009815,2.5023123415891115,0.0,6.921131492262075,0.0,0.0,5.1189195126761255,7.160639716577416,9.46272493452981,1497.0,79.0,4.0,5418.0
H,5842,0,1.0,5.6683685237667065,0.0948380000317054,6.458616677503557,5.947487394596326,7.325755170836303,4.864978325703785,1.0,6.187162317181874,0.4309967217368418,7.229037914208304,2.953393908308928,6.66994390295021,1.8966052671650115,0.0,6.921131492262075,0.0,0.0,6.217531801344236,7.1616387176595,9.46272493452981,853.0,42.0,25.0,2325.0
H,5842,0,8.0,5.6683685237667065,0.2774033706163609,9.808711082815687,3.8606767099072767,5.633405458546316,3.874295368458567,1.0,6.187162317181874,0.4133229965959441,6.8743382379114095,3.1075445881361854,6.670442283224666,2.0506701864570718,0.0,6.921131492262075,0.0,0.0,5.1189195126761255,7.160639716577416,9.46272493452981,2457.0,54.0,4.0,1623.0
