qid,doc_id,relevanc,citations,author_group
5438,3e19046c665867bbe557685da60738a40738010a,0,622,H
5438,7ef08f1fa127af817cdfd9d3bd00bdf60e32143b,0,2111,H
5438,ec13c3e7119191802e6f5783d297fe7a5a05293e,0,895,L
5438,8fc928bb430d3f72ac876ca156042ad1860acacd,0,3706,H
5438,b2fdee22aa02477292b858fbafcb418932732bce,1,1169,H
5438,8466964cf0884351c3e1b8444b5d71e64eb69dd6,0,513,H
5438,5dec44c59ddf5b18b242fce52c00cf47c40e6e2e,0,514,H
5438,1f1946887c8be228864ee23374bc0b427abf0884,0,1549,L
5438,1f7190fc294246f83f1f331cc51e3264851d0d36,0,4701,H
5438,33e77edcd42960bc1ed931ada45b9aa8d0e60e16,0,1026,L
5438,325f4787a40c14518529a64332b801e6f53b22d7,0,1148,H
5438,4f6577ead70ef97d620dec986cf054ae4a05035d,0,539,H
5438,3861839d05cb39ec928590b169f08a5c119fb56f,0,499,H
5438,955ef754cf9a7480383d46197232792afdf0b691,1,625,H
5438,93a96e0f68038fbbe70f80952632e8f0770af56e,0,1076,H
5438,379f897fa771cc8fecddac7e982c6fb0a3fffb86,0,7800,H
5438,3d9c9982b639be42e97c1d0dc4b5ce74d163f064,0,669,H
5438,20cca03bbdbd83d321a3939694ae9b41f6b8e66d,0,562,L
5438,10da56ca968d4e862d9071246790e930660438d4,0,725,H
5438,11e4e71b13860045fa9abff5ea227463d0e7562b,0,674,H
5438,04bc9c61c81c9125e39a6c52bee56f794e463a6f,0,751,H
5438,c50a7f1850d1770fe728b8e42200e463ca669896,0,2232,H
5438,af9bbea473e72fcbef487f3205e3f252a5ac8a3a,0,572,H
5438,70f3a58b0fc6916c2e6616bfbae5758c00408894,0,533,L
5438,993db6e50adc33307896403c83ef10399883454f,0,515,L
5438,cffd51ac65dddbc4b49133e9a943cb6add05827e,0,652,H
5438,a9d11c8371a3608aab9996c742e7c12bd3562b25,0,1456,H
5438,c4e85963c9461f7b1fb752acee5275a4545314b7,0,-1,Unknown
5438,b6b9e1943c9e2e7ca09c28cdc50c25b3918f3735,0,857,L
5438,7964791a1dab49340b55672a6cc3c176f517831b,1,820,H
5438,e27d5122a0ee36d82d3d4b64647134d19e156189,0,616,H
23837,81c681cbed86579db06547578fce31d1d8c854b9,0,4038,H
23837,74be5e9261ba8fb4c1c08c25c4aea69d69d6b7ed,0,972,H
23837,fb5184bc15b82bc60a7b29c5af9b82be3026d636,0,151,H
23837,e3c3934a8ca44ecc874752ed9fe49fc21f02a595,0,325,H
23837,8cf92eb7ba51884bd9766a59acb1470a7e49f2ad,0,71,H
23837,99d70df3ca706aba7dd9ec79c2415c7225952a55,0,206,L
23837,6286041da5f1c5cb87211250d5c4f002f105c472,1,16,H
23837,4d92f9c9926cdd43558e734361c87349a31356f2,0,884,H
23837,8b1053031bcd8798c2eb1f1536f1308221232088,0,309,L
23837,c970c10f8d78f89a37bfeee2e2e6b08aad8fbfae,0,177,H
23837,a65bcf182e1ab60c019244aaf2c5aa2c96a660fb,0,48,L
23837,fffc42bfae388f857021fe3539ea4142ca74ac8b,0,819,H
23837,994c02b2021d335cf102e1b87eee9c34b190cac6,0,18,L
23837,5b06a4e6e1a98859161b0b8ceeb9c2492941e67d,0,75,L
23837,a15efc585764c1acc21048beb3cf206e2e9768f5,1,71,H
23837,900574e42eb5b7e602fcbb029b821448a698b129,0,227,H
23837,31fd4426d84108717a2e7dda33a73f86cdf823b2,0,66,H
23837,35820013d9fd25916bef0462dddd1ac55712dda8,0,656,H
23837,505f3c93b5c4a5326e5882f891a8790ab9b468f1,0,92,L
23837,ff531179c8f4421aa054d678c42c2ccf23b1ef15,0,593,L
23837,463d8c00c8bf8ff6cd6ffd9b8e14239e0967e2ca,1,104,L
23837,20b898c0b098a7b958f19394c0e91f540c53ec2b,0,83,H
23837,ddf9b445237624ec0b475cace671867104611736,1,745,L
23837,fce20c1bacb481205e441928429b3da0c4994da2,0,88,H
