Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.0,-1.1152077,-1.1152077,True
0.0,0.20081897,0.20081897,False
1.0,-0.106139,-0.106139,False
0.0,-0.47201136,-0.47201136,False
1.0,-0.14281096,-0.14281096,True
0.0,-0.17686494,-0.17686494,False
0.0,-0.17858247,-0.17858247,True
0.0,-0.20359455,-0.20359455,True
0.0,-0.79233277,-0.79233277,True
0.0,-0.4845744,-0.4845744,False
0.0,-0.5854964,-0.5854964,False
0.0,-0.6027884,-0.6027884,False
0.0,-0.7175402,-0.7175402,False
0.0,-0.7448348,-0.7448348,True
0.0,0.7605911,0.7605911,False
0.0,-2.3340342,-2.3340342,False
0.0,-0.8886106,-0.8886106,False
0.0,-0.7889414,-0.7889414,True
0.0,-0.12016725,-0.12016725,False
